customer_id,email,signup_date,gender,region,loyalty_tier
C00001,shaneramirez@gmail.com,2025-04-26,Male,Central,Silver
C00002,jpeterson@bernard.com,2024-08-11,Female,Central,Gold
C00003,howardmaurice@yahoo.com,2025-05-15,Male,Central,Gold
C00004,yherrera@arnold.org,2025-06-14,Female,Central,Gold
C00005,janetwilliams@gmail.com,2025-05-02,Male,West,Bronze
C00006,wyattmichelle@yahoo.com,2024-10-21,Male,Central,Bronze
C00007,francisco53@hotmail.com,2024-10-17,Female,North,Gold
C00008,amandasanchez@gray-mayo.net,2024-09-29,Male,Central,Gold
C00009,perezantonio@yahoo.com,2024-12-08,Female,South,Silver
C00010,clarksherri@hotmail.com,2024-11-05,Male,East,Gold
C00011,pfoster@thomas-taylor.net,2025-01-31,Other,East,Silver
C00012,zhurst@yahoo.com,2024-09-29,Female,North,Silver
C00013,ddavis@hernandez.biz,2025-02-22,Female,West,Gold
C00014,djames@king.com,2025-03-27,Other,Central,Gold
C00015,daniel62@yahoo.com,2024-07-07,Female,Central,Bronze
C00016,williamrodriguez@hotmail.com,2024-10-29,Other,North,Gold
C00017,nathanielmartin@sellers.com,2024-08-10,Male,West,Gold
C00018,john39@gmail.com,2024-08-08,Female,North,Bronze
C00019,spenceamanda@gmail.com,2024-08-24,Female,East,Gold
C00020,josephbrennan@yahoo.com,2024-09-26,Female,East,Gold
C00021,raymond57@hayes.com,2025-02-19,Male,South,Silver
C00022,adrianzimmerman@perez.com,2024-08-02,Female,West,Silver
C00023,elizabeth38@cummings.org,2025-01-05,Male,East,Gold
C00024,maguirre@davis.com,2024-12-17,Female,West,Silver
C00025,dshields@hotmail.com,2025-03-16,Female,North,Gold
C00026,powellmatthew@wright.net,2024-12-27,Female,North,Gold
C00027,dwhite@baxter.info,2025-05-15,Male,North,Gold
C00028,pearsonamber@novak.com,2024-12-10,Female,North,Gold
C00029,zlewis@gmail.com,2024-09-07,Male,North,Silver
C00030,gallowayjoseph@yahoo.com,2024-10-24,Male,North,Gold
C00031,smoore@gmail.com,2024-07-28,Female,Central,Gold
C00032,brian97@calhoun.net,2024-08-06,Female,East,Gold
C00033,larsonemma@powell.com,2025-02-15,Other,North,Gold
C00034,barnesbrandy@stewart.com,2024-10-06,Female,Central,Gold
C00035,panderson@yahoo.com,2024-12-30,Other,South,Silver
C00036,smithchristine@hotmail.com,2024-08-13,Male,West,Bronze
C00037,williamanderson@ibarra-suarez.com,2024-10-24,Female,East,Gold
C00038,tbass@carr-archer.net,2024-07-09,Female,East,Gold
C00039,mcmillandennis@gmail.com,2025-06-16,Other,South,Silver
C00040,josephjacobs@cooper.net,2025-01-11,Female,East,Gold
C00041,davisrodney@yahoo.com,2024-07-23,Male,North,Bronze
C00042,kellie42@ramos.com,2024-08-04,Female,West,Bronze
C00043,davenportbrandi@jordan.com,2024-11-24,Female,East,Silver
C00044,jason31@deleon-henson.biz,2025-03-04,Female,Central,Gold
C00045,michellecherry@keith.com,2025-04-18,Female,West,Bronze
C00046,vpham@gmail.com,2024-10-17,Male,North,Bronze
C00047,reyesbenjamin@walker-velasquez.info,2024-11-18,Female,West,Bronze
C00048,jeffreykeller@yahoo.com,2024-11-10,Female,East,Gold
C00049,rasmussenjoshua@hotmail.com,2025-01-19,Male,South,Gold
C00050,sheila14@gmail.com,2025-02-16,Female,West,Bronze
C00051,rodriguezryan@hotmail.com,2025-05-07,Female,East,Gold
C00052,gobrien@gmail.com,2024-12-02,Female,East,Gold
C00053,bradley60@frost.com,2024-11-24,Female,North,Gold
C00054,rushsamantha@hotmail.com,2024-11-04,Female,East,Silver
C00055,william65@terry-spencer.com,2024-12-16,Female,North,Gold
C00056,christinaturner@hotmail.com,2025-05-25,Male,South,Bronze
C00057,justin69@pena.com,2025-01-20,Male,Central,Gold
C00058,donnacampbell@hotmail.com,2025-03-08,Male,West,Gold
C00059,cardenaskaren@hotmail.com,2024-11-03,Female,West,Bronze
C00060,dylanwilliams@carr-mack.info,2024-12-13,Male,West,Gold
C00061,psnyder@douglas.com,2025-05-04,Female,North,Gold
C00062,gregoryrubio@hotmail.com,2025-01-02,Male,West,Gold
C00063,samanthamartinez@solis.net,2025-02-08,Male,North,Gold
C00064,usalazar@hotmail.com,2024-12-18,Female,Central,Gold
